pUO1,IncP,Betaproteobacteria,Burkholderiales,Delftia,acidovorans,NC_005088
R751,IncP,Gammaproteobacteria,Enterobacteriales,Enterobacter,aerogenes,NC_001735
RK2,IncP,Gammaproteobacteria,Enterobacteriales,STBLE,STBLE,NC_001621
pIE321,IncW,Gammaproteobacteria,Enterobacteriales,Salmonella,enterica,NC_010716
pMAK3,IncW,Gammaproteobacteria,Enterobacteriales,Salmonella,enterica,NC_009982
R388,IncW,Gammaproteobacteria,Enterobacteriales,Escherichia,coli,BR000038
R7K,IncW,Gammaproteobacteria,Enterobacteriales,Providencia,rettgeri,NC_010643
pAM04528,IncA/C,Gammaproteobacteria,Enterobacteriales,Salmonella,enterica,NC_012693
pAR060302,IncA/C,Gammaproteobacteria,Enterobacteriales,Escherichia,coli,NC_012692
pAsa4,IncA/C,Gammaproteobacteria,Aeromonadales,Aeromonas,salmonicida,NC_009349
peH4H,IncA/C,Gammaproteobacteria,Enterobacteriales,Escherichia,coli,NC_012690
pIP1202,IncA/C,Gammaproteobacteria,Enterobacteriales,Yersinia,pestis,NC_009141
pP91278,IncA/C,Gammaproteobacteria,Vibrionales,Photobacterium,damselae,NC_008613
pP99-018,IncA/C,Gammaproteobacteria,Vibrionales,Photobacterium,damselae,NC_008612
pRA1,IncA/C,Gammaproteobacteria,Aeromonadales,Aeromonas,hydrophila,NC_012885
pSN254,IncA/C,Gammaproteobacteria,Enterobacteriales,Salmonella,enterica,NC_009140
pYR1,IncA/C,Gammaproteobacteria,Enterobacteriales,Yersinia,ruckeri,NC_009139
pCTX-M3,IncL/M,Gammaproteobacteria,Enterobacteriales,Citrobacter,freundii,NC_004464
pCTXM360,IncL/M,Gammaproteobacteria,Enterobacteriales,Klebsiella,pneumoniae,NC_011641
pEL60,IncL/M,Gammaproteobacteria,Enterobacteriales,Erwinia,amylovora,NC_005246
NAH7,IncP-9,Gammaproteobacteria,Pseudomonadales,Pseudomonas,putida,NC_007926
pDTG1,IncP-9,Gammaproteobacteria,Pseudomonadales,Pseudomonas,putida,NC_004999
pNAH20,IncP-9,Gammaproteobacteria,Pseudomonadales,Pseudomonas,fluorescens,NC_012674
pWW0,IncP-9,Gammaproteobacteria,Pseudomonadales,Pseudomonas,putida,NC_003350
pCCK1900,IncQ,Gammaproteobacteria,Pasteurellales,Pasteurella,multocida,NC_011378
pCHE-A,IncQ,Gammaproteobacteria,Enterobacteriales,Enterobacter,cloacae,NC_012006
pDN1,IncQ,Gammaproteobacteria,Cardiobacteriales,Dichelobacter,nodosus,NC_002636
pIE1115,IncQ,NA,NA,NA,,NC_002524
pIE1130,IncQ,NA,NA,NA,,NC_004973
pMS260,IncQ,Gammaproteobacteria,Pasteurellales,Actinobacillus,pleuropneumoniae,NC_005312
RSF1010,IncQ,Gammaproteobacteria,Enterobacteriales,Escherichia,coli,NC_001740
pFBAOT6,IncU,Gammaproteobacteria,Aeromonadales,Aeromonas,punctata,NC_006143
pRA3,IncU,Gammaproteobacteria,Aeromonadales,Aeromonas,hydrophila,NC_010919
pIPO2T,PromA,NA,NA,NA,,NC_003213
pMRAD02,PromA,Alphaproteobacteria,Rhizobiales,Methylobacterium,radiotolerans,NC_010509
pSB102,PromA,NA,NA,NA,,NC_003122
pTer331,PromA,Betaproteobacteria,Burkholderiales,Collimonas,fungivorans,NC_010332
pRi1724,Ri/Ti,Alphaproteobacteria,Rhizobiales,Agrobacterium,rhizogenes,NC_002575
pRi2659,Ri/Ti,Alphaproteobacteria,Rhizobiales,Agrobacterium,rhizogenes,NC_010841
pTi,Ri/Ti,Alphaproteobacteria,Rhizobiales,Agrobacterium,tumefaciens,NC_002377
pTi-C58,Ri/Ti,Alphaproteobacteria,Rhizobiales,Agrobacterium,tumefaciens,NC_003065
pTi-SAKURA,Ri/Ti,Alphaproteobacteria,Rhizobiales,Agrobacterium,tumefaciens,NC_002147
pTiBo542,Ri/Ti,Alphaproteobacteria,Rhizobiales,Agrobacterium,tumefaciens,NC_010929
pTiS4,Ri/Ti,Alphaproteobacteria,Rhizobiales,Agrobacterium,vitis,NC_011982
