Rep,29215,replicationproteinRepA2,Inc?,pCA28,85,98.8
Rep,29215,replicationregulatoryprotein,Inc?,pCss165Kan,85,97.6
Rep,29215,replicationproteinRepA2,Inc?,pCA14,85,98.8
Rep,29215,replicationproteinRepA,Inc?,unnamed,17,*
Rep,6726,replicationinitiatorproteinRepA,Inc?,pCMPG5300.03,373,*
Rep,6726,repA,Inc?,plca36,373,85.5
Rep,6726,RepA,Inc?,pLU4,373,87.4
Rep,6726,ReplicationinitiatorproteinA,Inc?,pOENI-1v2,371,70.4
Rep,6726,Replicationinitiatorprotein,Inc?,pHN1,370,95.7
Rep,6726,plasmidreplicationinitiationprotein,Inc?,unnamed,369,79.5
Rep,6726,replicationinitiatorprotein,Inc?,pLgLA39,369,94.3
Rep,6726,replicationinitiatorprotein,Inc?,pSF118-44,364,97.0
Rep,10454,RepA,Inc?,pKDO1,337,*
Rep,10454,proteinRepA,Inc?,unnamed1,325,91.4
Rep,10454,replicationprotein;Rep-3family,Inc?,pRYC11,297,99.7
Rep,10454,ReplicationinitiationproteinRepA,Inc?,pNJST258N3,297,99.7
Rep,10454,RepA,Inc?,pK245,297,99.7
Rep,10454,"replicationinitiatorprotein,incFIIgroup",Inc?,pK1HV,297,99.7
Rep,10454,RepA1,Inc?,pB-3002cz,297,99.7
Rep,10454,replicationinitiationproteinRepA,Inc?,pUSKPC3,297,99.7
Rep,10454,RepA,Inc?,pKF3-94,297,99.7
Rep,10454,proteinRepA,Inc?,pCAV1392-50,291,99.7
Rep,10454,proteinRepA,Inc?,pCAV1374-49,291,100.0
Rep,10454,proteinRepA,Inc?,pFB2.2,291,99.7
Rep,10454,proteinRepA,Inc?,pKPC,291,99.7
Rep,10454,replicationproteinrepa,Inc?,p628-KPC,291,99.7
Rep,10454,proteinRepA,Inc?,plasmid1,291,99.7
Rep,10454,ReplicationproteinRepA,Inc?,pPMK1-C,291,100.0
Rep,10454,proteinRepA,Inc?,unnamed,291,86.3
Rep,10454,ReplicationproteinA,Inc?,pEh1A,291,99.7
Rep,10454,RepA,Inc?,pBK34397,291,99.7
Rep,10454,proteinRepA,Inc?,pUHKPC45-117,291,99.7
Rep,10454,proteinRepA,Inc?,pNJST258N3-62b,291,99.7
Rep,10454,proteinRepA,Inc?,pKp28,291,100.0
Rep,10454,RepFIBreplicationproteinA,Inc?,pKPYL2,291,99.7
Rep,10454,replicationproteinRepA,Inc?,:,291,99.7
Rep,10454,RepA,Inc?,pHS08204,183,96.6
Rep,29219,replicationprotein,Inc?,pCTXM15,150,85.5
Rep,29219,replicationprotein,Inc?,pI1-34TF,150,85.5
Rep,29219,replicationprotein,Inc?,pVR50B,102,92.4
Rep,29219,conservedhypotheticalprotein,Inc?,pCVM29188,89,71.8
Rep,29219,replicationprotein,Inc?,pC59-153,85,95.3
Rep,29219,replicationproteinRepA2,Inc?,pCA28,85,98.8
Rep,29219,replicationprotein,Inc?,pACN001-B,85,95.3
Rep,29219,replicationregulatoryprotein,incf,F,85,97.6
Rep,29219,replicationregulatoryprotein,Inc?,pCFSAN029787,85,81.2
Rep,29219,RepA2,Inc?,pAPEC-O1-ColBM,85,95.3
Rep,29219,replicationregulatoryprotein,Inc?,pSJ,85,83.5
Rep,29219,replicationregulatoryprotein,Inc?,p33673,85,94.1
Rep,29219,RepA2,Inc?,pAPEC-1,85,95.3
Rep,29219,RepA2replicationregulatoryprotein,Inc?,pKPC-LKEc,85,95.3
Rep,29219,RepA2(CopB),Inc?,pJIE186-2,85,83.5
Rep,29219,replicationregulatoryproteinRepA2(CopB),Inc?,pETN48,85,83.5
Rep,29219,replicationregulatoryprotein2,Inc?,pAA,85,95.3
Rep,29219,replicationregulatoryprotein1,Inc?,E873p3,85,*
Rep,29219,replicationregulatoryprotein1,Inc?,pAA,85,95.3
Rep,29219,replicationregulatoryproteinRepA2,Inc?,pCA14,85,83.5
Rep,29219,replicationprotein,Inc?,p1ColV5155,85,95.3
Rep,29219,replicationregulatoryprotein,Inc?,p6409-151.583kb,85,83.5
Rep,29219,RepA2,incf,pIP1206,85,98.8
Rep,29219,ReplicationregulatoryproteinRepA2,Inc?,pS286colV,85,95.3
Rep,29219,RepA2,Inc?,pVM01,85,95.3
Rep,29219,replicationprotein,Inc?,p80-547,85,94.1
Rep,29219,hypotheticalprotein,Inc?,p3PCN033,39,94.9
Rep,45807,replication-associatedproteinRepX,Inc?,pCV56C,253,*
Rep,10106,Replicationinitiationprotein,Inc?,pMI4,303,100.0
Rep,10106,Replicationinitiationprotein,Inc?,pPDL2,303,95.7
Rep,10106,Replicationinitiationprotein,Inc?,pMI3,303,100.0
Rep,10106,Replicationinitiationprotein,Inc?,pTK3,303,100.0
Rep,10106,Replicationinitiationprotein,Inc?,pTK4,303,100.0
Rep,10106,Replicationinitiationprotein,Inc?,pISP1,303,100.0
Rep,10106,Replicationinitiationprotein,Inc?,pISP4,303,*
Rep,10106,replicationproteinRepB,Inc?,STP2,291,87.6
Rep,10106,initiatorRepBprotein,Inc?,pGDIA01,223,77.6
Rep,8309,initiatorreplicationproteinRepB,Inc?,pSR35,336,*
Rep,8308,replication-associatedproteinRepA,Inc?,pTEF1,336,*
Rep,3555,putativereplicationprotein,Inc?,pXap41.,497,*
Rep,3555,Putativereplicationprotein,Inc?,plc,497,97.4
Rep,3555,putativereplicationprotein,Inc?,unnamed,497,*
Rep,3555,replicationprotein,Inc?,pSMC1,491,77.5
Rep,3555,Replicationprotein,Inc?,pMRVIM0713,491,77.5
Rep,3555,rep,Inc?,pMBUI2,488,71.3
Rep,3555,replicationprotein,Inc?,unnamed,84,98.8
Rep,3554,plasmidreplicationproteinRepR,Inc?,p11-27,497,99.8
Rep,3554,plasmidreplicationproteinRepR,Inc?,pE15,497,99.8
Rep,3554,plasmidreplicationproteinRepR,Inc?,pD12-2,497,99.8
Rep,3554,repR,Inc?,unnamed,497,100.0
Rep,3554,putativereplicationprotein,Inc?,unnamed,497,*
Rep,3554,plasmidreplicationproteinRepR,Inc?,pY13,497,99.8
Rep,3554,RepRprimase,Inc?,pEfm12493,497,78.3
Rep,3554,replicationproteinRepR,Inc?,unnamed2,497,100.0
Rep,3554,plasmidreplicationproteinRepR,Inc?,p14-1,497,99.8
Rep,3554,RepR,Inc?,pEF1,497,99.8
Rep,3554,repR,Inc?,unnamed2,497,100.0
Rep,3554,plasmidreplicationproteinRepR,Inc?,pQY082,497,92.4
Rep,3554,plasmidreplicationproteinRepR,Inc?,p12-7,497,99.8
Rep,3554,plasmidreplicationproteinRepR,Inc?,1,497,100.0
Rep,3554,Rep,Inc?,pJEG050,474,100.0
Rep,3554,replicationprotein,Inc?,p3,474,100.0
Rep,40223,PlasmidRepBreplicationprotein,Inc?,pLMP1046,408,*
Rep,94613,plasmidencodedRepAprotein,Inc?,:,318,*
Rep,68032,RepAprotein,Inc?,pCdoos1,396,*
Rep,5987,initiatorRepBprotein,Inc?,pRUNSL02,396,*
Rep,3856,Replication-associatedproteinRepR,Inc?,pwo28-3,479,*
Rep,57514,RepA1,Inc?,pSH696,262,93.5
Rep,57514,IncFreplicationproteinRepA1,Inc?,pSH163,258,93.5
Rep,57514,"Replicationinitiationprotein,RepAfamilyprotein",Inc?,pSLG231,121,100.0
Rep,57514,replicationprotein,Inc?,pO169:H41,102,84.6
Rep,57514,replicationprotein,Inc?,pVR50B,102,92.4
Rep,39100,initiatorRepBprotein,Inc?,pEMTOL04,464,*
Rep,41655,Replicationprotein,Inc?,pKB1A97-67,355,*
Rep,44466,replicationassociatedproteinRepA1,Inc?,pSG1,282,*
Rep,41796,hypotheticalprotein,Inc?,pRSPA03,350,97.7
Rep,41796,hypotheticalprotein,Inc?,pWS8N,350,100.0
Rep,41796,RepBpartitioningprotein/ParB-likeprotein,Inc?,C,350,96.3
Rep,41796,chromosomepartitioningproteinParB,Inc?,unnamed,71,75.0
Rep,37916,hypotheticalprotein,Inc?,pCTET9441,561,99.6
Rep,37916,ReplicationinitiatorproteinA,Inc?,p12124569,561,*
Rep,37916,hypotheticalprotein,Inc?,pE88,329,100.0
Rep,94471,RepAreplicaseprotein,Inc?,bpln,324,88.3
Rep,94471,PutativeRepAreplicaseprotein,Inc?,bglu,324,*
Rep,4933,replicationinitiationproteinRepC1,Inc?,pRetMIM1a,430,*
Rep,4933,plasmidreplicationproteinRepCb,Inc?,p42b,430,99.5
Rep,73308,replicationinitiationproteinRepC,Inc?,pShin-12,239,*
Rep,41492,TrfA1replicationinitiationprotein,Inc?,pMBUI1,373,71.4
Rep,41492,TrfAreplicationinitiationprotein,Inc?,pAcX50c,361,*
Rep,6843,Replicase,Inc?,ABKp1,391,99.2
Rep,6843,RepA,Inc?,pC13-2,391,99.5
Rep,6843,replicasefamilyprotein,Inc?,pIS123-67,391,99.5
Rep,6843,RepAreplicationinitiationprotein,Inc?,pA105-1,391,99.5
Rep,6843,Replicase,Inc?,p1AB5075,391,99.5
Rep,6843,RepA,Inc?,pD46-3,391,99.2
Rep,6843,RepA,Inc?,pD72-2,391,99.2
Rep,6843,plasmidreplicaseprotein,Inc?,p2ABTCDC0715,391,98.9
Rep,6843,Rep,Inc?,pAb-G7-2,391,99.5
Rep,6843,plasmidreplicase,Inc?,pAB,391,98.9
Rep,6843,replicationinitiationproteinRepA,Inc?,pA85-3,391,98.9
Rep,6843,plasmidreplicase,Inc?,unnamed1,387,98.9
Rep,6843,replicasefamilyprotein,Inc?,pABUH1-74,387,99.5
Rep,6843,plasmidreplicase,Inc?,pAB04-2,387,98.9
Rep,6843,replicasefamilyprotein,Inc?,pNaval81-67,387,99.5
Rep,6843,plasmidreplicase,Inc?,pAba3207b,387,99.5
Rep,6843,plasmidreplicase,Inc?,pAC29b,387,98.9
Rep,6843,plasmidreplicase,Inc?,pAC30c,387,98.9
Rep,6843,replicasefamilyprotein,Inc?,pOIFC143-70,387,99.5
Rep,6843,plasmidreplicaseprotein,Inc?,pACICU2,370,*
Rep,15750,plasmidsegregationoscillatingATPaseParF,Inc?,unnamed,216,99.5
Rep,15750,ParA,Inc?,pCOL-1,212,99.5
Rep,15750,partitioningproteinA,Inc?,pRSB105,212,99.5
Rep,15750,ParA,Inc?,pKPC2,212,*
Rep,15750,PlasmidstabilityproteinParA,Inc?,p10265-KPC,212,100.0
Rep,15750,ParA,Inc?,pRA2,212,99.1
Rep,15750,partitioningproteinA,Inc?,pLM16A1,210,80.5
Rep,15750,partitioningproteinParA,Inc?,pGES-GZ,210,80.0
Rep,15750,ParA,Inc?,pNOR-2000,210,80.0
Rep,15750,putativepartitioningproteinA,Inc?,pLM8P2,210,77.6
Rep,15750,ParA,Inc?,pKLC102,210,80.0
Rep,15750,ParA,Inc?,pAMBL1,210,80.0
Rep,15750,Plasmidpartitioningprotein,Inc?,unnamed,210,80.0
Rep,15750,plasmidpartitioningprotein,Inc?,pXap41.,209,81.8
Rep,15750,plasmid-partitioningproteinRepA,Inc?,pZM1252605,209,70.8
Rep,15750,partitioningprotein,Inc?,pGX4,209,80.4
Rep,15750,"plasmidpartitionproteinParA,putative",Inc?,unnamed,209,75.6
Rep,15750,partitioningprotein,Inc?,pGX3,209,80.4
Rep,15750,Cobyrinicacidac-diamidesynthase,Inc?,pZZM403,209,70.8
Rep,15750,putativeplasmidpartitioningParAfamilyATPase,Inc?,pCP4.2,209,70.8
Rep,15750,"ATPase,ParAfamily",Inc?,pDC3000A,209,75.6
Rep,15750,ORF209,Inc?,p49879.1,209,78.0
Rep,15750,plasmid-partitioningproteinRepA,Inc?,pZM1402304,209,70.8
Rep,15750,AAAdomainprotein,Inc?,pYAC,208,78.0
Rep,15750,plasmidpartitioningprotein,Inc?,unnamed,208,78.0
Rep,7049,replicationinitiationprotein,Inc?,pPGA2,365,*
Rep,7049,replicationinitiationproteinRepA,Inc?,pDSHI02,348,72.0
Rep,7049,plasmidreplicationproteinRepA-I,Inc?,pMaD10,341,72.4
Rep,7049,replicationinitiationprotein,Inc?,pPGA1,341,95.1
Rep,7049,RB100,Inc?,pSD20,334,82.1
Rep,7049,Putativereplicationprotein,Inc?,unnamed,334,80.7
Rep,7049,plasmidreplicationproteinrepA-I,Inc?,pGal,333,98.8
Rep,7049,RepA,Inc?,unnamed,278,99.6
Rep,69517,initiatorRepBprotein,Inc?,unnamed,456,*
Rep,40381,plasmidpartitioningproteinRepAa2,Inc?,p42a,402,*
Rep,10190,replicationinitiationprotein,Inc?,pENT01,302,*
Rep,10190,Replicationinitiationprotein,Inc?,pPA21A,254,76.0
Rep,84864,repC,Inc?,pCIS6,76,100.0
Rep,84864,RepC,Inc?,pEps352,76,*
Rep,84864,RepC,Inc?,pIL7,76,100.0
Rep,84864,replication-associatedproteinRepC,Inc?,pSK11P,76,100.0
Rep,84864,replicationprotein,Inc?,pLP712,76,100.0
Rep,69259,"MS100,putativereplicaseRepA",Inc?,pSD15,347,*
Rep,4738,plasmidreplicationinitiationprotein,Inc?,pQpH1,449,98.2
Rep,4738,InitiatorRepBprotein,Inc?,QpH1,438,98.2
Rep,4738,InitiatorRepBprotein,Inc?,QpRS,438,*
Rep,4738,plasmidreplicationinitiationprotein,Inc?,pQpRS,438,100.0
Rep,4738,plasmidreplicationinitiationprotein,Inc?,pQpDG,438,98.2
Rep,4738,repAprotein,Inc?,QpH1,429,98.1
Rep,4738,repAprotein,Inc?,unnamed,429,98.1
Rep,4738,Plasmidreplicationinitiationprotein,Inc?,QpRS,429,99.8
Rep,4738,hypotheticalprotein,Inc?,QpDV,334,99.4
Rep,4738,['orfX2'],Inc?,unnamed,311,97.1
Rep,39628,plasmidreplicationproteinrepX,Inc?,1,435,98.4
Rep,39628,plasmidreplicationproteinRepX,Inc?,p03BB102,435,99.1
Rep,39628,plasmidreplicationproteinrepX,Inc?,pBCX01,435,98.6
Rep,39628,plasmidreplicationproteinRepX,Inc?,pXO1,435,98.4
Rep,39628,PlasmidreplicationproteinrepX,Inc?,BAP1,435,98.4
Rep,39628,plasmidreplicationproteinRepX,Inc?,pKK3,435,99.1
Rep,39628,plasmidreplicationproteinrepX,Inc?,unnamed,435,98.4
Rep,39628,plasmidreplicationproteinRepX,Inc?,pX01,435,98.4
Rep,39628,PlasmidreplicationproteinrepX,Inc?,pXO1,435,98.4
Rep,39628,hypotheticalprotein,Inc?,p01,435,*
Rep,39628,pXO1-45,Inc?,PX01,435,98.4
Rep,39628,plasmidreplicationproteinX2,Inc?,pCI-XO1,435,98.6
Rep,39628,plasmidreplicationproteinrepX,Inc?,plasmid1,435,98.4
Rep,39628,plasmidreplicationproteinrepX,Inc?,pXO1,411,98.5
Rep,39628,plasmidreplicationproteinRepX,Inc?,pXO1,411,98.5
Rep,39628,hypotheticalprotein,Inc?,pXO1,151,100.0
Rep,78039,ReplicationproteinRep,Inc?,SAP108A,265,99.3
Rep,78039,replicationproteinRepB,Inc?,unnamed2,265,99.3
Rep,78039,replicationprotein,Inc?,SAP110A,148,*
Rep,19656,RepBfamilyprotein,Inc?,pMK02,164,98.2
Rep,19656,hypotheticalprotein,Inc?,pKB290-2,164,*
Rep,71502,ReplicationproteinB,Inc?,p1METDI,282,*
Rep,32783,hypotheticalprotein,Inc?,unnamed,363,100.0
Rep,32783,replicationprotein,Inc?,pSA-038,314,99.7
Rep,32783,replicationprotein,Inc?,pFRI1151m,314,99.7
Rep,32783,replicationprotein,Inc?,pV521,267,98.9
Rep,32783,replicationprotein,Inc?,SAP101A,238,90.3
Rep,32783,replicationprotein,Inc?,SAP064A,238,90.3
Rep,32783,replicationprotein,Inc?,pSK57,238,90.3
Rep,32783,replicationprotein,Inc?,SAP070B,238,89.9
Rep,32783,replicationprotein,Inc?,pSK59,238,90.3
Rep,32783,replicationprotein,Inc?,pV605,238,90.3
Rep,32783,replicationprotein,Inc?,pSK79,238,90.3
Rep,32783,replicationprotein,Inc?,pCCM5757-1,238,90.3
Rep,32783,replicationprotein,Inc?,pSK80,238,90.3
Rep,32783,replicationprotein,Inc?,pWBG756,238,89.9
Rep,32783,replicationprotein,Inc?,pSK23,238,90.3
Rep,32783,replicationprotein,Inc?,pSK21,238,90.3
Rep,32783,replicationprotein,Inc?,pCM05,238,90.3
Rep,32783,replicationprotein,Inc?,SAP066A,238,90.3
Rep,32783,Hypotheticalprotein,Inc?,pZ172,238,90.3
Rep,32783,replicationprotein,Inc?,SAP047A,229,90.4
Rep,32783,replicationprotein,Inc?,unnamed,84,98.8
Rep,32783,replicationprotein,Inc?,SAP012A,62,85.5
Rep,32783,replicationprotein,Inc?,SAP063A,62,87.1
Rep,32783,Rep,Inc?,pBU108b,62,87.1
Rep,32783,replicationprotein,Inc?,SAP060A,61,95.7
Rep,32783,['orfX7'],Inc?,DNA,61,100.0
Rep,32783,putativereplicationinitiationproteinRepdomainprotein,Inc?,pLUH02,59,84.7
Rep,32783,replicationprotein,Inc?,SAP048A,59,84.7
Rep,32783,replicationprotein,Inc?,pWBG744,59,84.7
Rep,32783,replicationprotein,Inc?,pWBG747,59,84.7
Rep,32783,replicationprotein,Inc?,pWBG746,59,84.7
Rep,32783,replicationprotein,Inc?,SAP074A,59,84.7
Rep,32783,replicationprotein,Inc?,pSK156,59,84.7
Rep,32783,replicationprotein,Inc?,pSK67,59,84.7
Rep,32783,plasmidreplication,Inc?,SAP059A,48,75.0
Rep,32783,plasmidreplication,Inc?,pWBG755,48,75.0
Rep,32783,replicationprotein,Inc?,pV2200,46,95.7
Rep,32783,replicationprotein,Inc?,pSA564,46,95.7
Rep,32783,replicationprotein,Inc?,pSA268,46,95.7
Rep,32783,replicationprotein,Inc?,pHUV05-03,46,76.1
Rep,32783,replicationprotein,Inc?,pSK67-M1,46,95.7
Rep,32783,replicationprotein,Inc?,pWBG759,46,95.7
Rep,61294,replicaseRepFR55,Inc?,pMC189,61,*
Rep,69555,InitiatorReplicationprotein,Inc?,pSR84,338,*
Rep,98642,ReplicationproteinRep,Inc?,1,210,*
Rep,3770,ReplicationinitiatorproteinA,Inc?,1,485,*
Rep,43590,RepB,Inc?,pP62BP1,305,93.7
Rep,43590,hypotheticalprotein,Inc?,5,69,72.5
Rep,36263,TraCDNAprimase;longform,Inc?,PB5,1061,99.9
Rep,36263,DNAprimaseTraC1,Inc?,PB11,1061,99.9
Rep,36263,DNAprimase,Inc?,complete,1061,99.9
Rep,36263,DNAprimasetraCReplicationprimase,Inc?,PSP21,1061,99.9
Rep,36263,TraCDNAprimaseandssDNAbindingprotein,incp,pBS228,1061,99.9
Rep,36263,traC2,Inc?,PSP21,746,100.0
Rep,36263,TraCDNAprimase,incp,pBS228,746,100.0
Rep,36263,DNAprimaseTraC2,Inc?,PB11,746,100.0
Rep,36263,TraCDNAprimase;shortform,Inc?,PB5,746,100.0
Rep,36263,DNAprocessingprotein,Inc?,pWEC911,635,82.9
Rep,36263,DNAprocessingprotein,Inc?,pG527,635,82.9
Rep,6983,hypotheticalprotein,Inc?,pHS36-NDM,1204,99.9
Rep,6983,hypotheticalprotein,Inc?,pNDM15-1078,1204,99.8
Rep,6983,plasmidreplicationprotein,Inc?,pCFSAN007425,366,99.7
Rep,6983,Plasmidreplicationprotein,Inc?,pGPN1,366,99.7
Rep,6983,plasmidreplicationproteinRepA,inca/c,peH4H,366,99.7
Rep,6983,RepA,Inc?,pKP-Gr642,366,99.7
Rep,6983,plasmidreplicationproteinRepA,Inc?,pSH111,366,99.7
Rep,6983,plasmidreplicationproteinRepA,Inc?,pNDM-SAL,366,100.0
Rep,6983,plasmidreplicationprotein,Inc?,pCVM22513,366,99.7
Rep,6983,plasmidreplicationprotein,Inc?,pEC732,366,100.0
Rep,6983,plasmidreplicationprotein,Inc?,pCFSAN007426,366,99.7
Rep,6983,plasmidreplicationproteinRepA,Inc?,pKAZ2,366,99.7
Rep,6983,plasmidreplicationprotein,Inc?,pCVMN1543,366,99.7
Rep,6983,plasmidreplicationproteinRepA,Inc?,pUMNK88,366,99.7
Rep,6983,plasmidreplicationprotein,Inc?,pSAN1-1736,366,99.7
Rep,6983,RepA,Inc?,pNDM1,366,100.0
Rep,6983,RepA,Inc?,pNDM1,366,100.0
Rep,6983,plasmidreplicationprotein,Inc?,pCVM21538,366,99.7
Rep,6983,plasmidreplicationprotein,Inc?,unnamed,366,99.7
Rep,6983,RepAprotein(modularprotein),Inc?,XNC1,366,97.5
Rep,6983,plasmidreplicationproteinRepA,Inc?,pR148,366,100.0
Rep,6983,plasmidreplicationproteinRepA,Inc?,pSCEC2,366,99.7
Rep,6983,RepA,Inc?,pKP1-NDM-1,366,100.0
Rep,6983,PlasmidreplicationproteinRepA,Inc?,pNDM-US-2,366,100.0
Rep,6983,plasmidreplicationproteinRepA,Inc?,p11663,366,99.7
Rep,6983,plasmidreplicationprotein,Inc?,pCFSAN007428,366,99.7
Rep,6983,RepAprotein,Inc?,pR55,366,99.7
Rep,6983,plasmidreplicationprotein,Inc?,pPSP-100,366,99.7
Rep,6983,plasmidreplicationproteinRepA,Inc?,pNDM10505,366,100.0
Rep,6983,repricationprotein,Inc?,pVC1307,366,99.7
Rep,6983,RepA,Inc?,pVCR94deltaX,366,99.7
Rep,6983,plasmidreplicationproteinRepA,Inc?,pKHM-1,366,97.8
Rep,6983,RepA,Inc?,pEcl-Gr4873,366,99.7
Rep,6983,plasmidreplicationprotein,Inc?,pCVM21550,366,99.7
Rep,6983,plasmidreplicationproteinRepA,Inc?,pNDM-PstGN576,366,100.0
Rep,6983,RepAprotein,Inc?,pNDM10469,366,100.0
Rep,6983,plasmidreplicationproteinRepA,Inc?,pSH696,366,99.7
Rep,6983,plasmidreplicationproteinRepA,Inc?,pAPEC1990,366,99.7
Rep,6983,plasmidreplicationproteinRepA,inca/c,pAR060302,366,99.7
Rep,6983,plasmidreplicationprotein,Inc?,pVAS3-1,366,99.7
Rep,6983,RepA,Inc?,pNDM-KN,366,100.0
Rep,6983,plasmidreplicationproteinRepA,Inc?,pPG010208,366,99.7
Rep,6983,plasmidreplicationprotein,Inc?,pCFSAN000405,366,99.7
Rep,6983,RepA,Inc?,pRMH760,366,100.0
Rep,6983,plasmidreplicationprotein,Inc?,pCAV1193-166,366,100.0
Rep,6983,putativeplasmidreplicationprotein,Inc?,pKPHS3,366,99.7
Rep,6983,plasmidreplicationprotein,Inc?,p6409-202.186kb,366,99.7
Rep,6983,plasmidreplicationprotein,Inc?,p6234-178.193kb,366,99.7
Rep,6983,RepAplasmidreplicationprotein,Inc?,pEC2-NDM-3,366,100.0
Rep,6983,plasmidreplicationproteinRepA,Inc?,pKAZ3,366,99.7
Rep,6983,plasmidreplicationproteinRepA,Inc?,pKAZ4,366,100.0
Rep,6983,plasmidreplicationprotein,Inc?,pKOX-86d,366,99.7
Rep,6983,RepA,Inc?,pSRC119-A/C,366,99.7
Rep,6983,plasmidreplicationprotein,Inc?,pYDC637,366,99.7
Rep,6983,"plasmidreplicationproteinRepA,IncA/Creplicon",Inc?,p1643,366,99.7
Rep,6983,plasmidreplicationprotein,Inc?,pCFSAN000934,366,99.7
Rep,6983,plasmidreplicationprotein,Inc?,pCFSAN007405,366,99.7
Rep,6983,plasmidreplicationproteinRepA,Inc?,pNDM-1,366,100.0
Rep,6983,plasmidreplicationproteinRepA,Inc?,pMR0211,366,99.7
Rep,6983,plasmidreplicationprotein,Inc?,pSTY1-1896,366,99.7
Rep,6983,RepA,Inc?,IncA/C-LS6,366,99.7
Rep,6983,RepAC1protein(modularprotein),Inc?,pKP13e,366,99.7
Rep,6983,repA,inca/c,pP91278,366,99.7
Rep,6983,repricationprotein,Inc?,pVC1447,366,99.7
Rep,6983,plasmidreplicationproteinRepA,Inc?,pHM881QN,366,99.7
Rep,6983,RepA,Inc?,pKAZ1,366,99.7
Rep,6983,plasmidreplicationproteinRepA,Inc?,pNDM-EcoGN568,366,100.0
Rep,6983,plasmidreplicationproteinRepA,Inc?,:,366,*
Rep,6983,RepA,Inc?,pKP-Gr8143,366,99.7
Rep,6983,RepA,Inc?,pRH-1238,366,99.7
Rep,6983,plasmidreplicationprotein,Inc?,pCFSAN007427,366,99.7
Rep,6983,plasmidreplicationproteinRepA,Inc?,pSH163,366,99.7
Rep,6983,RepA,Inc?,p39R861-4,366,99.7
Rep,6983,plasmidreplicationprotein,Inc?,pCVM22425,366,99.7
Rep,6983,plasmidreplicationprotein,Inc?,pASP-a58,366,99.7
Rep,6983,repricationprotein,inca/c,pP99-018,366,99.7
Rep,6983,plasmidreplicationproteinRepA,Inc?,pNDM102337,366,100.0
Rep,6983,conservedhypotheticalprotein,Inc?,4,359,70.2
Rep,6983,plasmidreplicationproteinRepA,Inc?,1,357,92.4
Rep,6983,"IncA/C2,plasmidreplicationproteinRepA",Inc?,pIMP-PH114,354,99.7
Rep,6983,plasmidreplicationproteinRepA,inca/c,pRA1,354,98.0
Rep,6983,plasmidreplicationproteinRepA,Inc?,pSN254b,354,99.7
Rep,6983,plasmidreplicationproteinRepA,Inc?,pMRVIM0912,354,99.7
Rep,6983,plasmidreplicationproteinRepA,Inc?,pSD,354,99.7
Rep,6983,plasmidreplicationprotein,Inc?,p35734-141.404kb,354,98.0
Rep,6983,RepA,Inc?,2964TF,354,99.2
Rep,6983,plasmidreplicationprotein,Inc?,pKPC,354,100.0
Rep,6983,plasmidreplicationproteinRepA,Inc?,pTR2,354,100.0
Rep,6983,plasmidreplicationproteinRepA,inca/c,pSN254,354,99.7
Rep,6983,plasmidreplicationproteinRepA,Inc?,pRM12581,354,99.7
Rep,6983,plasmidreplicationproteinRepA,inca/c,pIP1202,354,99.7
Rep,6983,plasmidreplicationproteinRepA,Inc?,pRM13514,354,99.7
Rep,6983,plasmidreplicationproteinRepA,inca/c,pYR1,354,99.2
